Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-01-30 04:00:00,105196.00000000,105595.81000000,104799.66000000,105132.07000000,2795.08494000,2025-01-30 07:59:59.999,294033349.06024060,473329,1322.34647000,139127999.13439530,0
2025-01-30 08:00:00,105132.07000000,105534.00000000,104925.26000000,105300.63000000,1690.21583000,2025-01-30 11:59:59.999,177890973.32378910,356679,723.71812000,76166603.58970650,0
2025-01-30 12:00:00,105300.63000000,106457.44000000,104660.00000000,105564.00000000,5586.81148000,2025-01-30 15:59:59.999,589809189.37079860,1093270,3002.43111000,317086368.64560070,0
2025-01-30 16:00:00,105563.99000000,106013.01000000,104762.59000000,105711.27000000,3142.75313000,2025-01-30 19:59:59.999,331428217.42773650,805752,1656.60225000,174736316.33072210,0
2025-01-30 20:00:00,105711.28000000,105821.62000000,104693.82000000,104722.94000000,2282.30617000,2025-01-30 23:59:59.999,240082478.67260850,540226,1170.93765000,123194324.65551940,0
2025-01-31 00:00:00,104722.94000000,105029.72000000,103930.09000000,104344.46000000,2510.54787000,2025-01-31 03:59:59.999,262206160.63656060,456102,1222.93159000,127744105.59264970,0
2025-01-31 04:00:00,104344.46000000,104814.46000000,103972.13000000,104188.56000000,1868.93867000,2025-01-31 07:59:59.999,195018287.89887090,349720,852.02563000,88908296.95557530,0
2025-01-31 08:00:00,104188.57000000,104848.65000000,103936.54000000,104736.00000000,1992.81020000,2025-01-31 11:59:59.999,207844013.05026820,402042,1090.95163000,113802528.06394690,0
2025-01-31 12:00:00,104736.01000000,106012.00000000,104106.00000000,105464.01000000,4829.65222000,2025-01-31 15:59:59.999,507009250.96699660,851907,2657.78046000,279238684.49203150,0
2025-01-31 16:00:00,105464.00000000,105574.40000000,102122.00000000,102312.32000000,6376.84832000,2025-01-31 19:59:59.999,660854891.05833890,1397008,2788.48068000,289087993.06615620,0
2025-01-31 20:00:00,102312.31000000,102482.94000000,101560.00000000,102429.56000000,4404.38465000,2025-01-31 23:59:59.999,449241398.58418240,875125,2085.22969000,212704265.95892490,0
2025-02-01 00:00:00,102429.56000000,102783.71000000,102198.52000000,102249.19000000,1810.34285000,2025-02-01 03:59:59.999,185582515.13117980,336147,985.25105000,101004713.47610060,0
2025-02-01 04:00:00,102249.19000000,102588.57000000,102118.56000000,102166.49000000,1052.21801000,2025-02-01 07:59:59.999,107700928.78735650,228096,511.25891000,52329964.23572390,0
2025-02-01 08:00:00,102166.49000000,102276.99000000,101412.00000000,102028.81000000,2029.14504000,2025-02-01 11:59:59.999,206693049.23918200,418187,804.83163000,81975798.68476330,0
2025-02-01 12:00:00,102028.82000000,102329.01000000,101730.79000000,102073.89000000,1704.67519000,2025-02-01 15:59:59.999,174005124.68180090,385831,854.36304000,87219460.45685110,0
2025-02-01 16:00:00,102073.89000000,102297.99000000,101448.00000000,101669.60000000,1472.58058000,2025-02-01 19:59:59.999,150124193.36005190,389744,644.31801000,65705650.52103400,0
2025-02-01 20:00:00,101669.60000000,101669.60000000,100279.51000000,100635.65000000,4221.99580000,2025-02-01 23:59:59.999,426248417.03765860,830781,1825.87067000,184304428.77453820,0
2025-02-02 00:00:00,100635.66000000,101456.60000000,99148.91000000,99206.86000000,4565.34638000,2025-02-02 03:59:59.999,457702884.68186960,867109,1812.04487000,181817610.34802570,0
